规则编号,根告警代码,衍生告警代码,根层次,衍生层次,是否启用,备注1,备注2
501,2034,1716,ODUk,OTN_CLIENT,1,特例,专家
502,2035,2115,ODUk,OTN_CLIENT,1,特例,专家
503,2035,1716,ODUk,OTN_CLIENT,1,特例,专家
504,2036,2115,ODUk,OTN_CLIENT,1,特例,专家
505,2036,1716,ODUk,OTN_CLIENT,1,特例,专家
506,2074,2115,ODUk,OTN_CLIENT,1,特例,专家
507,2074,1716,ODUk,OTN_CLIENT,1,特例,专家
508,2075,2115,ODUk,OTN_CLIENT,1,特例,专家
509,2075,1716,ODUk,OTN_CLIENT,1,特例,专家
510,2076,2115,ODUk,OTN_CLIENT,1,特例,专家
511,2076,1716,ODUk,OTN_CLIENT,1,特例,专家
512,2114,1716,ODUk,OTN_CLIENT,1,特例,专家
513,2115,2118,OTN_CLIENT,OTN_CLIENT,1,特例,专家
514,2116,2117,OTN_CLIENT,OTN_CLIENT,1,特例,专家
515,2690,2115,ODUk,OTN_CLIENT,1,特例,专家
516,2690,1716,ODUk,OTN_CLIENT,1,特例,专家
517,60031,2115,ODUk,OTN_CLIENT,1,特例,专家
518,60031,1716,ODUk,OTN_CLIENT,1,特例,专家
519,60034,2115,ODUk,OTN_CLIENT,1,特例,专家
520,60034,1716,ODUk,OTN_CLIENT,1,特例,专家
521,60035,2115,ODUk,OTN_CLIENT,1,特例,专家
522,60035,1716,ODUk,OTN_CLIENT,1,特例,专家
523,60038,2115,ODUk,OTN_CLIENT,1,特例,专家
524,60038,1716,ODUk,OTN_CLIENT,1,特例,专家
525,60042,2115,ODUk,OTN_CLIENT,1,特例,专家
526,60042,1716,ODUk,OTN_CLIENT,1,特例,专家
527,60043,2115,ODUk,OTN_CLIENT,1,特例,专家
528,60043,1716,ODUk,OTN_CLIENT,1,特例,专家
529,60077,2115,ODUk,OTN_CLIENT,1,特例,专家
530,60077,1716,OTUk,OTN_CLIENT,1,特例,专家
531,60078,2115,ODUk,OTN_CLIENT,1,特例,专家
532,60078,1716,ODUk,OTN_CLIENT,1,特例,专家
533,60079,2115,ODUk,OTN_CLIENT,1,特例,专家
534,60079,1716,ODUk,OTN_CLIENT,1,特例,专家
535,60080,2115,ODUk,OTN_CLIENT,1,特例,专家
536,60080,1716,ODUk,OTN_CLIENT,1,特例,专家
537,60081,2115,ODUk,OTN_CLIENT,1,特例,专家
538,60081,1716,ODUk,OTN_CLIENT,1,特例,专家
539,60082,2115,ODUk,OTN_CLIENT,1,特例,专家
540,60082,1716,ODUk,OTN_CLIENT,1,特例,专家
541,60085,1716,ODUk,OTN_CLIENT,1,特例,专家
542,60088,2115,ODUk,OTN_CLIENT,1,特例,专家
543,60088,1716,ODUk,OTN_CLIENT,1,特例,专家
